id,name,brand,price,mileage,fuel_type,transmission,seating_capacity,body_type,rating,use_case,features,engine_cc,safety_rating,year,image_url
99,Hyundai Verna 2025,Hyundai,1370737.92,19.38,Diesel,Manual,5,Sedan,4.8,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
12,Maruti Baleno,Maruti Suzuki,652858.67,21.5,CNG,Manual,5,Hatchback,4.4,"City,Family",Smartplay Studio|Head-up Display|Premium Interior,1197,4,2023,maruti_suzuki_maruti_baleno.jpg
56,Maruti Suzuki Dzire 2022,Maruti Suzuki,764572.34,21.66,Diesel,Manual,5,Sedan,4.7,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_dzire_2025.jpg
68,Kia Sonet 2025,Kia,1151346.35,17.09,Petrol,Manual,5,SUV,4.8,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
104,Kia Sonet 2025,Kia,985275.48,19.32,Petrol,Manual,5,SUV,4.7,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
94,Hyundai i20 2022,Hyundai,826232.23,17.22,CNG,Automatic,5,Hatchback,4.7,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
78,Mahindra Scorpio N 2025,Mahindra,1587769.44,15.57,Diesel,Manual,7,SUV,4.4,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2025,mahindra_scorpio_n_2025.jpg
29,Hyundai Verna,Hyundai,1249377.23,16.94,CNG,Manual,5,Sedan,4.5,"City,Long Drive",Ventilated Seats|Sunroof|BlueLink|ADAS,1497,5,2023,hyundai_verna_2025.jpg
87,Tata Altroz 2022,Tata,881921.86,23.67,Petrol,Automatic,5,Hatchback,4.5,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2022,tata_altroz_2025.jpg
9,Hyundai Venue,Hyundai,851127.03,15.52,CNG,Manual,5,SUV,4.3,"City,Family",BlueLink|Touchscreen|Rear Camera|Wireless Charging,998,4,2023,hyundai_venue_2025.jpg
2,Hyundai Creta,Hyundai,1286001.31,18.87,Diesel,Automatic,5,SUV,4.7,"Family,Long Drive",Sunroof|Cruise Control|Touchscreen|Climate Control,1493,5,2023,hyundai_creta.jpg
28,Maruti Brezza,Maruti Suzuki,992719.67,18.23,Petrol,Manual,5,SUV,4.5,"City,Family",Head-up Display|360 Camera|Sunroof|Connected Car,1462,4,2023,maruti_suzuki_maruti_brezza.jpg
24,Mahindra XUV700,Mahindra,1449649.68,15.69,Diesel,Automatic,7,SUV,4.7,"Family,Long Drive,Off-road",ADAS|Panoramic Sunroof|Sony Audio|AWD,2184,5,2023,mahindra_xuv700_2025.jpg
6,Kia Seltos,Kia,1078086.38,14.39,Petrol,Automatic,5,SUV,4.5,"City,Family",UVO Connect|Air Purifier|Wireless Charger|360 Camera,1497,5,2023,kia_seltos_2024.jpg
33,Hyundai Verna 2023,Hyundai,1553220.99,18.82,Petrol,Automatic,5,Sedan,4.7,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2023,hyundai_verna_2025.jpg
81,Kia Sonet 2024,Kia,926810.03,20.17,CNG,Manual,5,SUV,4.6,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2024,kia_sonet_2025.jpg
70,Kia Seltos 2024,Kia,1368290.55,19.84,Petrol,Manual,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
64,Mahindra Scorpio N 2022,Mahindra,1846794.17,15.45,Petrol,Manual,7,SUV,4.6,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2022,mahindra_scorpio_n_2025.jpg
50,Maruti Suzuki Baleno 2022,Maruti Suzuki,845782.29,20.73,Petrol,Automatic,5,Hatchback,4.2,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_maruti_baleno.jpg
82,Mahindra XUV700 2022,Mahindra,2282709.89,14.82,Petrol,Automatic,7,SUV,4.8,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2022,mahindra_xuv700_2025.jpg
52,Tata Altroz 2025,Tata,836165.85,22.57,CNG,Automatic,5,Hatchback,4.9,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
91,Mahindra Scorpio N 2024,Mahindra,2028949.25,16.24,Diesel,Manual,7,SUV,4.5,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
63,Mahindra Scorpio N 2024,Mahindra,1977123.72,12.87,Diesel,Automatic,7,SUV,4.5,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
77,Tata Altroz 2024,Tata,871451.59,19.55,Diesel,Manual,5,Hatchback,4.7,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2024,tata_altroz_2025.jpg
61,Kia Seltos 2024,Kia,1184467.0,17.69,CNG,Manual,5,SUV,4.6,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
86,Hyundai Verna 2025,Hyundai,1414838.94,17.18,Diesel,Automatic,5,Sedan,4.5,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
55,Skoda Slavia 2024,Skoda,1235006.16,16.88,Diesel,Manual,5,Sedan,4.4,"City,Long Drive",Sunroof|Airbags|Touchscreen|Cruise Control,1498,5,2024,skoda_slavia_2024.jpg
110,Tata Tiago EV 2023,Tata,1121040.36,341.48,Petrol,Manual,5,Hatchback,4.8,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2023,tata_tiago_ev_2025.jpg
106,Hyundai i20 2022,Hyundai,858003.09,19.84,Diesel,Manual,5,Hatchback,4.9,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
59,Hyundai Verna 2025,Hyundai,1756566.16,16.45,Petrol,Manual,5,Sedan,4.9,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
49,MG Hector 2025,MG,1757411.4,17.07,CNG,Manual,5,SUV,4.8,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2025,mg_hector_2025.jpg
73,MG Hector 2024,MG,1642388.79,13.05,CNG,Manual,5,SUV,4.3,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
84,Hyundai i20 2022,Hyundai,875944.27,18.43,CNG,Automatic,5,Hatchback,4.6,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
108,Tata Punch 2023,Tata,876757.44,18.22,Diesel,Manual,5,SUV,4.3,"City,Off-road",ABS|Airbags|Touchscreen|Hill Assist,1199,4,2023,tata_punch.jpg
11,Honda Amaze,Honda,749368.94,16.08,Diesel,Manual,5,Sedan,4.3,"City,Family",CVT Option|Spacious Boot|Touchscreen|Reverse Camera,1199,4,2023,honda_amaze_2024.jpg
58,Kia Seltos 2024,Kia,1152742.19,18.77,Petrol,Manual,5,SUV,4.2,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
65,Kia Seltos 2023,Kia,1406458.42,17.96,Petrol,Manual,5,SUV,4.9,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
11,Honda Amaze,Honda,730897.7,19.4,Petrol,Manual,5,Sedan,4.3,"City,Family",CVT Option|Spacious Boot|Touchscreen|Reverse Camera,1199,4,2023,honda_amaze_2024.jpg
69,Maruti Suzuki Ertiga 2022,Maruti Suzuki,1252533.81,22.21,Petrol,Automatic,7,SUV,4.5,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2022,maruti_suzuki_maruti_ertiga.jpg
28,Maruti Brezza,Maruti Suzuki,802719.71,18.73,CNG,Manual,5,SUV,4.5,"City,Family",Head-up Display|360 Camera|Sunroof|Connected Car,1462,4,2023,maruti_suzuki_maruti_brezza.jpg
10,Tata Punch,Tata,595234.95,19.46,CNG,Manual,5,SUV,4.4,"City,Family",Ground Clearance|Spacious|Safety Features|Digital Cluster,1199,5,2023,tata_punch.jpg
19,Renault Kiger,Renault,651559.02,17.03,Diesel,Automatic,5,SUV,4.2,"City,Family",Wireless Android Auto|LED DRLs|8-inch Touchscreen,999,4,2023,renault_kiger.jpg
95,Maruti Suzuki Baleno 2024,Maruti Suzuki,811328.29,23.42,Diesel,Automatic,5,Hatchback,4.5,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2024,maruti_suzuki_maruti_baleno.jpg
97,Maruti Suzuki Dzire 2023,Maruti Suzuki,743216.78,23.64,CNG,Automatic,5,Sedan,4.3,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2023,maruti_suzuki_dzire_2025.jpg
27,Toyota Innova Crysta,Toyota,2199932.23,16.08,Diesel,Manual,7,MUV,4.8,"Family,Long Drive",Premium Interior|Captain Seats|Spacious|Reliable,2393,5,2023,toyota_innova_crysta.jpg
13,Mahindra Scorpio N,Mahindra,1554614.62,14.79,Diesel,Automatic,7,SUV,4.6,"Family,Off-road",4WD|Hill Hold|Cruise Control|Sunroof,2184,4,2023,mahindra_scorpio_n_2025.jpg
73,MG Hector 2024,MG,2084552.57,13.22,Petrol,Manual,5,SUV,4.3,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
98,MG Hector 2024,MG,1826572.88,16.31,Diesel,Automatic,5,SUV,4.4,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
24,Mahindra XUV700,Mahindra,1531284.17,16.12,Petrol,Manual,7,SUV,4.7,"Family,Long Drive,Off-road",ADAS|Panoramic Sunroof|Sony Audio|AWD,2184,5,2023,mahindra_xuv700_2025.jpg
90,Volkswagen Virtus 2024,Volkswagen,1477544.53,20.87,Petrol,Automatic,5,Sedan,4.8,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2024,volkswagen_virtus_2024.jpg
21,Jeep Compass,Jeep,1869147.66,14.39,CNG,Manual,5,SUV,4.7,"Off-road,Long Drive",4x4|Panoramic Sunroof|Uconnect|Dual-zone Climate,1956,5,2023,jeep_compass.jpg
2,Hyundai Creta,Hyundai,1206610.52,17.33,Diesel,Automatic,5,SUV,4.7,"Family,Long Drive",Sunroof|Cruise Control|Touchscreen|Climate Control,1493,5,2023,hyundai_creta.jpg
87,Tata Altroz 2022,Tata,766790.74,24.86,CNG,Automatic,5,Hatchback,4.5,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2022,tata_altroz_2025.jpg
9,Hyundai Venue,Hyundai,749558.6,16.18,Diesel,Manual,5,SUV,4.3,"City,Family",BlueLink|Touchscreen|Rear Camera|Wireless Charging,998,4,2023,hyundai_venue_2025.jpg
51,Honda Amaze 2022,Honda,896678.81,20.77,Petrol,Manual,5,Sedan,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2022,honda_amaze_2024.jpg
100,Mahindra Scorpio N 2024,Mahindra,1608277.61,13.22,Petrol,Automatic,7,SUV,4.3,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
53,MG ZS EV 2024,MG,2494798.19,377.77,Diesel,Manual,5,SUV,4.6,"City,Family",Fast Charging|Airbags|Connected Car|Sunroof,0,5,2024,mg_zs_ev_2024.jpg
1,Maruti Suzuki Swift,Maruti Suzuki,573709.27,20.02,CNG,Manual,5,Hatchback,4.5,"City,Family",ABS|Airbags|Power Steering|AC,1197,4,2023,maruti_suzuki_swift.jpg
35,Tata Altroz 2025,Tata,826387.44,24.36,Petrol,Automatic,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
88,Tata Altroz 2025,Tata,882611.57,21.85,CNG,Manual,5,Hatchback,4.3,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
18,Skoda Kushaq,Skoda,998770.42,16.05,Diesel,Manual,5,SUV,4.5,"Family,Long Drive",Ventilated Seats|Virtual Cockpit|Sunroof|6 Airbags,1498,5,2023,skoda_kushaq.jpg
7,Toyota Fortuner,Toyota,3333305.14,14.86,Petrol,Manual,7,SUV,4.9,"Family,Long Drive,Off-road",4WD|Leather Seats|Premium Audio|Adaptive Cruise,2755,5,2023,toyota_fortuner.jpg
15,Toyota Glanza,Toyota,687091.07,23.0,Diesel,Manual,5,Hatchback,4.3,"City,Family",Heads-up Display|Ambient Lighting|Smart Infotainment,1197,4,2023,toyota_glanza.jpg
59,Hyundai Verna 2025,Hyundai,1433458.31,17.93,CNG,Manual,5,Sedan,4.9,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
46,Kia Seltos 2023,Kia,1356584.01,16.47,Petrol,Manual,5,SUV,4.7,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
17,Volkswagen Virtus,Volkswagen,1265222.9,16.26,CNG,Manual,5,Sedan,4.6,"City,Long Drive",Ventilated Seats|Digital Cockpit|Wireless Charging,1498,5,2023,volkswagen_virtus_2024.jpg
94,Hyundai i20 2022,Hyundai,840994.26,21.45,Petrol,Automatic,5,Hatchback,4.7,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
91,Mahindra Scorpio N 2024,Mahindra,1776756.01,13.71,Diesel,Manual,7,SUV,4.5,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
48,Tata Altroz 2025,Tata,895345.59,24.03,Diesel,Automatic,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
67,Kia Seltos 2023,Kia,1210080.4,17.99,CNG,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
44,Honda Amaze 2023,Honda,862040.46,19.63,Petrol,Manual,5,Sedan,4.3,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2023,honda_amaze_2024.jpg
56,Maruti Suzuki Dzire 2022,Maruti Suzuki,836831.19,25.19,CNG,Automatic,5,Sedan,4.7,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_dzire_2025.jpg
34,Kia Seltos 2023,Kia,1282808.17,15.76,CNG,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
29,Hyundai Verna,Hyundai,1122585.58,20.28,Petrol,Manual,5,Sedan,4.5,"City,Long Drive",Ventilated Seats|Sunroof|BlueLink|ADAS,1497,5,2023,hyundai_verna_2025.jpg
62,Mahindra XUV700 2025,Mahindra,1972383.39,16.79,Petrol,Automatic,7,SUV,4.8,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2025,mahindra_xuv700_2025.jpg
105,Skoda Slavia 2024,Skoda,1283452.77,18.5,CNG,Automatic,5,Sedan,4.8,"City,Long Drive",Sunroof|Airbags|Touchscreen|Cruise Control,1498,5,2024,skoda_slavia_2024.jpg
3,Tata Nexon EV,Tata,1479043.75,270.74,Diesel,Automatic,5,SUV,4.6,"City,Family",Regenerative Braking|Fast Charging|Connected Car|iRA AI,0,5,2023,tata_nexon_ev.jpg
68,Kia Sonet 2025,Kia,1198860.53,18.37,Diesel,Automatic,5,SUV,4.8,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
84,Hyundai i20 2022,Hyundai,907827.14,20.98,Petrol,Manual,5,Hatchback,4.6,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
39,Tata Tiago EV 2023,Tata,994835.36,282.66,Petrol,Automatic,5,Hatchback,4.7,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2023,tata_tiago_ev_2025.jpg
74,Tata Harrier 2025,Tata,1705784.75,15.66,Petrol,Automatic,5,SUV,4.7,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2025,tata_harrier_2025.jpg
30,Kia Carens,Kia,913911.67,16.04,Diesel,Automatic,7,MUV,4.6,"Family,Long Drive",6/7 Seater|Ventilated Seats|UVO Connect|Sunroof,1497,5,2023,kia_carens.jpg
16,MG Hector,MG,1544140.05,14.0,CNG,Manual,5,SUV,4.5,"Family,Long Drive",Panoramic Sunroof|AI Assistant|360 Camera|ADAS,1956,5,2023,mg_hector_2025.jpg
23,Tata Harrier,Tata,1535120.98,13.78,Petrol,Automatic,7,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|JBL Audio|Terrain Modes|ADAS,1956,5,2023,tata_harrier_2025.jpg
80,MG Hector 2024,MG,1912406.36,13.48,Petrol,Manual,5,SUV,4.4,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
108,Tata Punch 2023,Tata,812348.93,20.59,CNG,Manual,5,SUV,4.3,"City,Off-road",ABS|Airbags|Touchscreen|Hill Assist,1199,4,2023,tata_punch.jpg
86,Hyundai Verna 2025,Hyundai,1416088.14,18.57,Diesel,Automatic,5,Sedan,4.5,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
103,Honda Amaze 2024,Honda,939215.77,17.79,CNG,Automatic,5,Sedan,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2024,honda_amaze_2024.jpg
58,Kia Seltos 2024,Kia,1381370.5,17.38,Diesel,Manual,5,SUV,4.2,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
74,Tata Harrier 2025,Tata,1782728.82,16.87,CNG,Automatic,5,SUV,4.7,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2025,tata_harrier_2025.jpg
57,Tata Tiago EV 2022,Tata,1045489.9,282.13,Petrol,Manual,5,Hatchback,4.8,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2022,tata_tiago_ev_2025.jpg
91,Mahindra Scorpio N 2024,Mahindra,1990018.37,16.39,CNG,Manual,7,SUV,4.5,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
99,Hyundai Verna 2025,Hyundai,1216922.54,19.77,Diesel,Automatic,5,Sedan,4.8,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
85,Tata Tiago EV 2025,Tata,1063230.94,304.11,Diesel,Automatic,5,Hatchback,4.8,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2025,tata_tiago_ev_2025.jpg
32,Tata Altroz 2022,Tata,873701.07,21.41,CNG,Automatic,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2022,tata_altroz_2025.jpg
16,MG Hector,MG,1652264.93,12.61,CNG,Automatic,5,SUV,4.5,"Family,Long Drive",Panoramic Sunroof|AI Assistant|360 Camera|ADAS,1956,5,2023,mg_hector_2025.jpg
87,Tata Altroz 2022,Tata,786326.78,25.86,Petrol,Automatic,5,Hatchback,4.5,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2022,tata_altroz_2025.jpg
68,Kia Sonet 2025,Kia,1075893.8,17.23,Petrol,Manual,5,SUV,4.8,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
73,MG Hector 2024,MG,2060335.66,15.48,CNG,Automatic,5,SUV,4.3,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
65,Kia Seltos 2023,Kia,1320741.78,17.33,CNG,Automatic,5,SUV,4.9,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
69,Maruti Suzuki Ertiga 2022,Maruti Suzuki,1144953.14,17.61,Diesel,Automatic,7,SUV,4.5,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2022,maruti_suzuki_maruti_ertiga.jpg
93,Tata Tiago EV 2022,Tata,1051316.36,297.1,Petrol,Manual,5,Hatchback,4.7,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2022,tata_tiago_ev_2025.jpg
100,Mahindra Scorpio N 2024,Mahindra,1730625.23,16.18,CNG,Automatic,7,SUV,4.3,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
67,Kia Seltos 2023,Kia,1261379.12,15.13,CNG,Manual,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
62,Mahindra XUV700 2025,Mahindra,1956770.71,17.19,CNG,Manual,7,SUV,4.8,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2025,mahindra_xuv700_2025.jpg
102,Tata Tiago EV 2025,Tata,899416.29,316.94,Petrol,Manual,5,Hatchback,4.3,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2025,tata_tiago_ev_2025.jpg
79,Mahindra XUV700 2024,Mahindra,2013667.82,17.79,CNG,Manual,7,SUV,4.7,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2024,mahindra_xuv700_2025.jpg
8,Maruti Altok10,Maruti Suzuki,342009.54,22.86,Petrol,Manual,5,Hatchback,4.2,City,Compact Design|Fuel Efficient|Easy Parking,796,3,2023,maruti_suzuki_maruti_altok10.jpg
5,Mahindra Thar,Mahindra,1277367.96,16.58,CNG,Automatic,4,SUV,4.8,"Off-road,Long Drive",4x4|Convertible Top|Off-road Tyres|Hill Assist,2184,4,2023,mahindra_thar.jpg
36,Tata Harrier 2022,Tata,1879346.49,16.9,Petrol,Manual,5,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2022,tata_harrier_2025.jpg
60,Volkswagen Virtus 2024,Volkswagen,1286689.62,20.95,Petrol,Automatic,5,Sedan,4.9,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2024,volkswagen_virtus_2024.jpg
40,Hyundai Venue 2025,Hyundai,1087308.79,18.58,CNG,Automatic,5,SUV,4.6,"City,Family",Sunroof|Cruise Control|Airbags|Connected Car,998,4,2025,hyundai_venue_2025.jpg
56,Maruti Suzuki Dzire 2022,Maruti Suzuki,847639.73,23.83,CNG,Automatic,5,Sedan,4.7,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_dzire_2025.jpg
92,Volkswagen Virtus 2022,Volkswagen,1262637.16,16.54,CNG,Manual,5,Sedan,4.4,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2022,volkswagen_virtus_2024.jpg
51,Honda Amaze 2022,Honda,951322.18,17.6,CNG,Automatic,5,Sedan,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2022,honda_amaze_2024.jpg
54,Maruti Suzuki Dzire 2025,Maruti Suzuki,662708.93,23.72,Petrol,Manual,5,Sedan,4.4,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2025,maruti_suzuki_dzire_2025.jpg
101,Kia Seltos 2024,Kia,1420848.61,18.4,Diesel,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
84,Hyundai i20 2022,Hyundai,1112594.48,21.82,Petrol,Automatic,5,Hatchback,4.6,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
75,Honda Amaze 2023,Honda,799700.53,19.17,Diesel,Automatic,5,Sedan,4.8,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2023,honda_amaze_2024.jpg
13,Mahindra Scorpio N,Mahindra,1247636.04,16.15,Diesel,Manual,7,SUV,4.6,"Family,Off-road",4WD|Hill Hold|Cruise Control|Sunroof,2184,4,2023,mahindra_scorpio_n_2025.jpg
76,Maruti Suzuki Baleno 2024,Maruti Suzuki,924225.64,24.6,Petrol,Manual,5,Hatchback,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2024,maruti_suzuki_maruti_baleno.jpg
83,Maruti Suzuki Ertiga 2022,Maruti Suzuki,1251364.46,19.53,CNG,Manual,7,SUV,4.3,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2022,maruti_suzuki_maruti_ertiga.jpg
23,Tata Harrier,Tata,1476325.05,14.68,CNG,Automatic,7,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|JBL Audio|Terrain Modes|ADAS,1956,5,2023,tata_harrier_2025.jpg
21,Jeep Compass,Jeep,2014184.78,14.82,CNG,Manual,5,SUV,4.7,"Off-road,Long Drive",4x4|Panoramic Sunroof|Uconnect|Dual-zone Climate,1956,5,2023,jeep_compass.jpg
44,Honda Amaze 2023,Honda,878368.97,18.23,Petrol,Manual,5,Sedan,4.3,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2023,honda_amaze_2024.jpg
20,Nissan Magnite,Nissan,583547.2,16.33,CNG,Manual,5,SUV,4.3,"City,Family",360 Camera|Wireless Charger|JBL Audio|Air Purifier,999,4,2023,nissan_magnite.jpg
